Nom,Type de bière,Type de bière précision,Degré d'alcool,Brasserie,Pays,Prix,Amertume,Acidité,Vivacité,Puissance,Rondeur,Fruité,Visuel,Odeur,Goût,Description,Url
MORNING SUNSHINE,ROUGE,ALE,5.2,BRUSSEL BEER PROJECT,BELGIQUE,3.6,4,6,6,4,6,8,"Robe rosée, reflets orangés, trouble, mousse rose généreuse","Arômes de céréales, pain grillé, avoine, framboise, mûres","Bouche ronde et gourmande, légère acidité, saveurs de fruits des bois, framboises, mûres, notes houblonnées végétales.","Née en 2016, la Morning Sunshine de la brasserie belge Brussel Beer Project nous fait le plaisir de revenir en grande pompe !
Dévoilant une belle robe rosée aux reflets orangés, et surmontée d'une mousse rose généreuse, cette bière trouble apporte au nez des arômes de céréales, de pain grillé et de framboises et mûres. En bouche, l'utilisation d'avoine lors du brassage, lui apporte une belle texture et les saveurs de fruits des bois, de framboises, et de mûres prédominent. Ronde, gourmande et tellement fruitée, la bière Morning Sunshine se veut délicieusement facile à boire !
Si intense que vous allez rêver que le soleil ne se couche jamais.",https://vandb.fr/morning-sunshine.html
STEWART SESSION IPA,BLONDE,SESSION IPA,3.7,STEWART BREWING,ROYAUME-UNI,2.55,6,4,6,4,2,8,"jaune paille, claire, transparente, fine mousse","citron, fruits tropicaux","Fruitée, citron, résineuse, frâiche, agrumes, fruits tropicaux","Cette Session IPA Écossaise est une exclusivité V and B proposée par la brasserie Stewart Brewing.
Elle dévoile, une fois versée dans un verre, une robe jaune paille claire et surmontée d'une fine mousse blanche. Au nez, le arômes se focalisent sur des notes de citrons, de fruits tropicaux et de myrtilles. En bouche, la texture se veut légère et fraîche, avec des saveurs de citrons et de fruits tropicaux. La finale se révèle sèche, houblonnée et très légèrement amère.
Une Session IPA légère, fraîche et digeste !",https://vandb.fr/stewart-session-ipa.html
STEAL THIS BEER,BLONDE,DOUBLE IPA,8.0,SAINTE CRU,FRANCE,4.4,10,4,4,8,4,6,"Robe ambrée, légèrement trouble, mousse blanche cassé","Arômes de fruits, agrumes, malt grillé, notes végétales et résineuses de pin","Bouche sèche, saveurs houblonnées intenses, notes végétales, résines de pin, agrumes, finale amère","C'est à Colmar que la brasserie artisanale Sainte Cru a vu le jour en 2007 avec l'ambition de créer des bières surprenantes. La Steal This Beer s'inscrit dans cette dimension. Cette DIPA est brassée avec une quantité impressionnante de houblons : trois houblons ont été associés, lors du brassage et d'un dry hopping, pour conférer une puissance aromatique hors du commun.
Cette bombe houblonnée possède une belle robe ambrée, légèrement trouble recouverte d'un épais col de mousse blanc. Cette bière française offre au nez des arômes de fruits blancs, d'agrumes et de malt grillé accompagnés de notes de résine de pin et végétales. En bouche, la Steal this Beer se révèle sèche. On y retrouve des puissantes saveurs houblonnées et de fruits. La finale de cette bière est amère ce qui la rend particulièrement rafraîchissante.",https://vandb.fr/steal-this-beer.html
CONTENU EXPLICITE,AMBRÉE,QUADRUPLE,10.0,SAINTE CRU,FRANCE,4.5,6,4,4,10,8,6,"Robe brune, reflets acajou, mousse blanche généreuse","Arômes de malt grillé, de caramel, vanille, fruits confits, miel, notes florales","Bouche gourmande et douce, saveurs de malt caramélisé, fruits confits, notes boisées, miel, finale aigre douce","La brasserie Sainte Cru revisite la quadruple belge traditionnelle avec sa recette Contenu Explique. Cette bière a la particularité d'être brassée avec une infusion de copeaux de chêne grillés lui conférant un goût unique et délicat.
A la dégustation, la bière française Contenu Explique possède une belle robe brune aux reflets acajou. Sa délicate mousse blanche dévoile des arômes gourmands de caramel, de malt grillé et de vanille. On y perçoit également des notes de fruits confits, de miel et de fleur. En bouche, la finale de cette bière se révèle aigre douce.
Cette bière artisanale riche et chaleureuse vous réchauffera tout au long de l'Hiver.",https://vandb.fr/contenu-explicite.html
PAULANER HEFE WEISSBIER,BLANCHE,WEISSBIER,5.5,PAULANER,ALLEMAGNE,1.95,2,4,4,4,6,6,"Robe jaune-orange, trouble, mousse crémeuse","Arômes de fruits, malt, céréales, levure, banane, clou de girofle","Saveurs fruitées, clou de girofle, céréale, banane, épices, pain grillée, douce et onctueuse","La brasserie Paulaner est l'un des emblèmes de la ville de Munich. Depuis le 17ème siècle, elle brasse des bières de blé selon la tradition monastique d'antan.
La Paulaner Hefe Weissbier est brassée à partir de 50% de froment ce qui lui confère un léger trouble. Ses levures spécifiques lui offrent des arômes de banane caractéristiques de ce style de bière.
A la dégustation, cette Weissbier possède une robe jaune légèrement trouble recouverte d'une mousse crémeuse. Elle dévoile aux nez une palette aromatique délicate portée par des notes de fruits, de céréales, de levure et d'épices. Douce et onctueuse, elle se révèle particulièrement légère en bouche avec ses douces saveurs de fruits.",https://vandb.fr/2778384/paulaner-hefe-weissbier.html
PAULANER MUNCHNER HELL,BLONDE,HELLES,4.9,PAULANER,ALLEMAGNE,1.95,4,2,0,2,4,6,"Blonde dorée, limpide, lumineuse, mousse blanche","Malt, houblon, levure","Douce, céréales","La Paulaner Münchner Hell est la bière de Munich, elle est à elle seule l'un des emblèmes de la ville. Avec ses 4,9%, elle est idéale pour rafraîchir vos chaudes journées d'été.
Brassée selon la loi de pureté allemande de 1516, la Paulaner Münchner Hell est le fruit d'un brassage d'exception mêlant savoir-faire traditionnel et ingrédients de grande qualité.
Cette bière allemande à la robe blonde dorée, est recouverte d'un épais col de mousse blanc. Au nez, des arômes de malt, de houblon et de levure se mélangent subtilement pour un rendu parfaitement équilibré et élégant. En bouche, on perçoit des saveurs de caramel, de malt puis un goût sucré percé d’une fine note houblonnée en fin de bouche. Au corps moyen et à la carbonatation fine, elle offre une finale sèche et légèrement amère.
Une bière douce et très rafraîchissante.",https://vandb.fr/2778378/paulaner-munchner-hell.html
CAROLUS WHISKY INFUSED,NOIRE,DARK ALE,11.7,HET ANKER,BELGIQUE,3.5,4,2,4,10,6,4,"Robe marron foncé, mousse beige","Arômes d'épices, de malt, de bois et de whisky.","Saveurs de fruits, whisky, vanille, caramel et sucre.","C'est au 15ème siècle que commença l'histoire de la brasserie Het Anker, l'heureuse détentrice de la Carolus. Depuis sa création, la brasserie excelle en brassage grâce à son savoir-faire acquis au fur et à mesure des siècles.
Depuis les années 2000, la brasserie participe chaque année au Zythos Bierfestival où elle présente des créations uniques. Parmi ses créations, la bière noire Whisky Infused. Elle fut, à de nombreuses reprises, récompensée pour son goût unique. Elle est le fruit d'un brassage d'exception dans lequel on a ajouté un peu de whisky single malt pour obtenir un équilibre parfait.
La Carolus Cuvée Keizer Whisky Infused possède une robe marron foncée surplombée d'un épais col de mousse beige. Elle dégage des arômes de malt, d'épices, de bois et de whisky. En bouche, cette dark ale se révèle ronde et chaleureuse avec des notes de fruits, de vanille, de caramel, de whisky et de sucre.
Une bière unique qui est taillée pour la dégustation.",https://vandb.fr/carolus-whisky-infused.html
ALTHEA,BLONDE,PALE ALE,4.8,GALWAY BAY,IRLANDE,3.2,4,2,6,4,4,6,"Robe blonde, reflets dorés, belle mousse blanche","Arômes sur les fruits tropicaux, touches houblonnées","Bouche légère, saveurs houblonnées, citronnées et maltées, notes herbacées","Galway Bay tire son nom de la vaste baie se trouvant à l'ouest de l'Irlande : La Baie de Galway. En plus de brasser des bières, la brasserie possède une dizaine de bars à travers l'Irlande où elle vend sa propre production.
La Althea est une Session IPA à l'amertume discrète malgré un ajout massif de houblon. La base maltée est douce et très agréable.
Cette bière possède une belle robe blonde aux reflets dorés. Au nez, on retrouve des saveurs de fruits tropicaux. Elle développe en bouche des arômes de houblons citronnés et floraux ainsi que des notes herbacées.",https://vandb.fr/althea.html
AMERICAN PALE ALE,BLONDE,PALE ALE,5.5,EFFET PAPILLON,FRANCE,3.5,6,2,4,6,4,6,"Robe blonde, reflets orangés, limpide, fine mousse blanche","Arômes de fruits secs, d'agrumes, notes résineuses","Saveurs d'agrumes, pamplemousse, notes herbacées et végétales, finale sèche et modérément amère","Élaborée non pas aux USA mais à Mérignac dans la brasserie Effet Papillon, l'American Pale Ale est brassée avec 4 houblons différents !
Arborant une robe blonde limpide aux reflets orangés et surmontée d'une fine mousse blanche, l'American Pale Ale ou APA montre au nez des arômes de fruits secs, d' agrumes et des notes résineuses. En bouche, les saveurs de cette bière se concentrent sur les agrumes et le pamplemousse. Des notes herbacées et végétales se ressentent au cours de la dégustation et la finale se veut sèche et modérément amère.
Une belle réussite made in France qui vaut le détour !",https://vandb.fr/american-pale-ale.html
WHEAT ALE,BLANCHE,WHEAT ALE,5.1,EFFET PAPILLON,FRANCE,3.5,4,6,6,4,4,6,"Robe jaune pâle, trouble, fine mousse blanche","Arômes de fruits jaunes, agrumes, citron, blé, levures, notes résineuses.","Fraîche et légèrement acidulée, notes d'agrumes, céréale, fruits jaunes, notes végétales, finale légèrement épicée","Brassée à Merignac, par la brasserie artisanale Effet Papillon, la Wheat Ale est une version plus moderne des bières traditionnelles de ce style. Douce et fruitée, elle offre une belle aromatique et se veut très rafraîchissante !
Dévoilant une robe jaune pâle, trouble et coiffée d'une fine mousse blanche, la Wheat Ale propose au nez des arômes de fruits jaunes, d'agrumes et de citron. Des notes de blé et de levures sont perceptibles. La bouche de cette bière se veut très fraîche et légèrement acidulée et offre des saveurs sur les agrumes et le blé. Les touches de fruits jaunes et végétales qui se ressentent aussi, mènent vers une finale légèrement épicée. Une craft beer à découvrir chez V and B.
On t'avait prévenu, c'est ça aussi le savoir-faire français !",https://vandb.fr/wheat-ale.html
