Nom,Type de rhum,Type de rhum précision,Degré d'alcool,Brasserie,Pays,Prix,Epicé/Boisé,Tourbé/Fumé,Fruité,Floral/Végétal,Vivacité,Sucrosité,Pâtissier,Visuel,Odeur,Goût,Ancienneté,Description,Url
"BARCELO ORGANIC 37,5%",AMBRÉ,RON - TRADITION ESPAGNOLE,37.5,BARCELÓ & CO,RÉPUBLIQUE DOMINICAINE,34.9,10,0,8,4,4,4,8,Ambre Intense,"Fruits Confits, Cerise Caramélisé, Fruits Secs, Cacao Tabac, Poivre, Boisé","Riche, Rond, Fruits Exotiques, Mangue, Ananas, Vanille, Réglisse, Menthe",2,"Ancré depuis près de 100 ans dans l'histoire de la République Dominicaine, Barcelo ouvre aujourd'hui un nouveau chapitre pour l'ensemble des rhums hispaniques : la sortie du premier rhum Bio !
Cette nouvelle référence s'inscrit dans un important projet débuté il y a 5 ans. En effet, la distillerie Barcelo a lancé la création d'une plateforme qui intègre l'ensemble du processus de production avec pour objectif de réduire l'impact sur l'environnement. Aujourd'hui cette plateforme assure à Barcelo une activité neutre en carbone. Ils compensent également le reste des émissions par une implication dans divers projets environnementaux à travers le monde.
Ainsi, c'est en 2016 que 150 hectares des plus anciens champs de cannes à sucre de l'île débutent leur réhabilitation, afin d'effacer toutes traces d'engrais. Ces champs sont proches de la distillerie afin de limiter le transport, mais aussi proche d'une rivière afin de profiter de l'irrigation et de la fertilisation naturelle des sols.
Lors de la fermentation, des levures biologiques sont utilisées avant que les jus soient distillés et mis à vieillir entre 2 et5 ans dans des fûts de chêne américain neufs afin de suivre strictement les standards biologiques.
Cette démarche se développe jusque dans l'emballage, crée à base de fibres végétales de canne à sucre et d'encre végétale. Un évènement pour le monde du rhum !
Avec un emballage V and B 100 % recyclable, vous avez ici un produit éco-responsable de la tête au pied.",https://vandb.fr/barcelo-organic-37-5-.html
J.M. 6 ANS XO 45%,AMBRÉ,RHUM - TRADITION FRANÇAISE,46.0,J.M.,MARTINIQUE,69.9,8,0,8,0,6,2,0,Or Brillant,"Intense, Suave, Fruits Exotiques, Epicés","Poivre Noir, Muscade, Bonbon Acidulé, Chaleureux, Fruits Exotiques",6,"Nul amateur de rhum ne peut ignorer la superbe de J.M. Située proche de la Montagne Pelée, la Maison J.M s'est construit une identitée de producteur iconique de la Martinique.
Nichée entre deux rivières, la Maison peut profiter d'un cadre idéal pour la production de rhum avec une franche identité. Le sol volcanique qui facilite la culture de la canne, un soleil abondant et une humidité idéale.
De parfaites conditions pour faire de grands rhums. La preuve avec avec ce rhum XO 6 ans Cet embouteillage est issu de l'assemblage de rhums vieilli en fûts de Bourbon. On obtient ainsi un jus chaleureux, fin et complexe. Entre fruits exotiques et épices. Un grand rhum !
A découvrir chez V and B",https://vandb.fr/j-m-6-ans-xo-45-.html
DIPLOMATICO SINGLE VINTAGE 2005 43%,AMBRÉ,RON - TRADITION ESPAGNOLE,43.0,DESTILERÍAS UNIDAS,VENEZUELA,98.0,10,0,6,0,0,8,8,Brun Sherry,"Vanille, café, chocolat","Fruits secs, bois, fumée",12,"Diplomatico, le plus célèbre des rhums du Vénézuéla nous offre sa version millésimée ! Après le 2004, le 2005 avec toujours la même finesse et gourmandise !
Pourquoi millésimer un rhum ? Pour saisir toute la dimension de l'année embouteillée, de sa récolte et surtout de sa distillation.
Ainsi, après une distillation en colonnes en 2005, le rhum a profité de 12 longues années de vieillissement en fûts de bourbon avant de reposer une année supplémentaire en fûts de sherry.
Tout ce processus se déroule sous la houlette du maître rhumier de la distillerie, Tito Cordero, le champion du monde 2014 de sa catégorie !
Et que dire du résultat. Un rhum conjugué au plus que parfait, à la hauteur des attentes, gourmand et riche, aux épices chaleureuses et à la complexité sublimes. Joliment embouteillé dans une carafe très élégante.
À découvrir sur VandB.fr",https://vandb.fr/diplomatico-single-vintage-2005-43-.html
J.M VSOP 43%,AMBRÉ,RHUM - TRADITION FRANÇAISE,43.0,J.M,FRANCE,47.9,8,0,10,4,6,0,2,Or jaune,"Fruits blancs, agrumes, café, canne fraiche","Epices douces, réglisse, chocolat, figue",4,"Depuis plusieurs décennies, les rhums vieux J.M. sont considérés comme certains des meilleurs au monde. Malgré quelques changements de propriétaires, la distillerie a su garder son héritage et son identité artisanale. Située au nord de la Martinique, sur la Montagne Pelé, la distillerie profite d'un parfait climat tropical, humide, mais aussi d'une terre de roche volcanique. Un endroit idyllique pour la culture de la canne à sucre.
Cette référence est l'une des entrées phares de la distillerie. La canne à sucre fraiche est sélectionnée avec soin, broyée et distillée dans deux alambics traditionnels à 72%. Un degré de distillation relativement bas, qui garantit l'aromatique des cannes à sucre fraiche. De quoi avoir une explosion d'arômes végétaux et herbacés avec d'être mis à reposé en fûts. Son vieillissement dans d'anciens fûts de bourbon rebrulés lui offre une complexité rare pour un rhum agricole.",https://vandb.fr/j-m-vsop-43-.html
ZACAPA EDICION NEGRA 43%,AMBRÉ,RON - TRADITION ESPAGNOLE,43.0,ILG,GUATEMALA,69.9,0,6,8,0,0,6,4,Acajou,"Fumée, chocolat, fruits secs","Fumée, fruits cuits, raisins secs, cacao",0,"Savez-vous comment la maison Zacapa confectionne ses rons ? D'abord, la mélasse est mise à fermenter avec des levures provenant d'ananas locaux, pour ensuite être distillé dans un alambic à colonne unique. Vient ensuite le vieillissement selon la méthode solera, dans un chai perché à 2300 mètres d'altitude, dans des fûts de plusieurs types ayant anciennement contenu du bourbon, du xérès, ou encore du porto.
Pour ce Zacapa Edicion Negra, la Master Blender Lorena Vasquez a eu l'idée de passer le ron dans des fûts ex-bourbon ayant été fortement chauffés afin de développer de nouveaux arômes.
Le nez évoque des notes de cacao et de fruits caramélisés auxquelles se mêlent des notes délicatement fumées.
La bouche confirme les perceptions du nez, avec des arômes de fruits secs et de cacao rehaussées de notes fumées.
La finale est persistante sur cette même trame.
Avec son profil résolument fumé et pâtissier, ce Zacapa Edition negra accompagnera idéalement vos fins de repas.",https://vandb.fr/zacapa-edicion-negra-43-.html
BUMBU SPICED 40%,AMBRÉ,SPICED,40.0,THE WEST INDIES RUM DISTILLERY,BARBADE,37.9,6,0,6,0,2,8,8,"Ambré, marron","Fruits tropicaux, vanille","Vanille, cannelle, noix grillées, piment",0,"Bumbu est produit de manière artisanale sur l'île de la Barbade, dans la distillerie ""The West Indies Rum Company"" fondée en 1893 ! Élaboré en respectant la recette traditionnelle des premiers rhums épicés des Caraïbes, il est assemblé à partir de canne à sucre en provenance de 8 pays différents : Barbade, Brésil, Costa Rica, République Dominicaine, Salvador, Guyane et Honduras !
Distillé dans deux alambics continus, il est ensuite reposé 15 ans en fûts de bourbon du Kentucky. Les levures utilisées lors de la fermentation sont quant à elles gardées secrètes depuis 1840.
La bouteille, de son côté, ne possède pas d'étiquette papier mais est ornée d'une croix en métal à l'avant et d'une carte des Caraïbes au dos. Son massif bouchon de liège brut laisse échapper un ""POP"" franc à chaque ouverture. Une édition définitivement PIRATES !",https://vandb.fr/bumbu-spiced-40-.html
BALLY 7 ANS 45%,AMBRÉ,RHUM - TRADITION FRANÇAISE,45.0,BALLY,MARTINIQUE,55.9,10,0,8,10,8,4,6,Ambre Profond,"Riche, Puissant, Fruits Secs, Bois Fin, Miel, Épices, Fruits Confits, Cire","Corsé, Ample, Noix, Noisettes grillées, Épices, Jus de Canne Frais, Réglisse, Fruits Secs, Boisée, Sirop de Canne",7,"C'est en 1917 que Jacques Bally fonde la Maison J.Bally. Depuis, la distillerie martiniquaise a construit sa renommée et a su acquérir une place spéciale dans le cœur des amateurs de rhum.
Le Rhum ambré Bally 7 ans est la rencontre entre la version 3 ans, son corps vif et corsé, ces épices douces, ses fruits cuits, et le 12 ans, avec son bois précieux, ses épices chaudes, ses notes empyreumatiques. Il est le parfait équilibre entre ces deux profils tout en profitant de cette touche gourmande caractéristique de ces rhums martiniquais. Une précision et une richesse propre à la Maison Bally.
Le petit plus, sa carafe de forme pyramidale iconique, dessiné pour la première fois dans les années 30 ! Plus aucun doute, ce rhum agricole est unique et ravira les amateurs comme les néophytes désireux de passer au niveau supérieur !",https://vandb.fr/bally-7-ans-45-.html
"LA FAVORITE CUVÉE PRIVILÈGE POUR LULU BATCH 2 41,3%",AMBRÉ,RHUM - TRADITION FRANÇAISE,41.3,LA FAVORITE,MARTINIQUE,153.0,8,0,8,8,2,2,8,Ambré,"Fruité, Banane, Floral, Fleurs Blanches, Végétal, Boisé, Riche","Onctueuse, Riche, Gourmande, Boisée, Épicée, Vanillé, Miellé",10,"La Cuvée Privilège pour Lulu est une de ces références d'exception, qui touche chaque amateur de rhum. Assemblage des millésimes 1998, 2000, 2001, 2002 et 2008, limitée à 4 500 bouteilles... C'est une référence exceptionnelle. L'équilibre est incroyable, fruit de la rencontre entre les différents profils aromatiques de chaque millésime. On voyage ainsi entre la gourmandise, l'onctuosité, le boisé, le miellé et le fruité. Une complexité infinie qui vous fera voyager à coup sûr à travers les champs de canne à sucre, avant de rejoindre les chais de la distillerie,
La distillerie de la famille Dormoy de La Favorite est un emblème des rhums agricoles français. Chaque nouvelle sortie de la Maison est un évènement incontournable. Durant plus d'un siècle et demi, l'une des maisons indépendantes de la Martinique a su développer son image, basée sur une qualité exceptionnelle.
Tous les amateurs de rhums connaissent La Favorite. Son nom provient de l'époque de Napoléon, ce dernier aurait proclamé ""cette liqueur sera ma favorite"" en dégustant ce rhum des Antilles. Et on le comprend !",https://vandb.fr/la-favorite-cuvee-privilege-pour-lulu-batch-2-41-3-.html
"LA FAVORITE RESERVE DU CHÂTEAU 2002 41,2%",AMBRÉ,RHUM - TRADITION FRANÇAISE,41.2,LA FAVORITE,MARTINIQUE,247.0,10,0,4,10,8,2,6,"Cuivre, Roux","Vive, Complexe, Gourmande, Épices, Réglisse, Poivre, Boisé, Cuivre, Végétal","Complexe, Frais, Sec, Poivre, Boisé, Végétal, Réglisse",18,"La Reserve du Château est une référence particulière. Sublimée dans une carafe à la forme étonnante, elle renferme un jus d'une infinie complexité. Après avoir suivi le processus traditionnel de la distillerie : cannes à sucre locales des 60 hectares possédés par la maison, fermentation avec des levures de boulangerie, distillation en colonne créole... le distillat a reçu un traitement particulier. C'est un vieillissement de douze années qui a permit à ce rhum de développer des arômes très épicés, avec un boisé d'une belle structure, mais une finesse incroyable, De longs arômes de fruits secs se dévoilent, faisant ainsi de cette Reserve du Château un excellent digestif que vous apprécierez après un bon repas.
La distillerie de la famille Dormoy de La Favorite est un emblème des rhums agricoles français. Chaque nouvelle sortie de la Maison est un évènement incontournable. Durant plus d'un siècle et demi, l'une des maisons indépendantes de la Martinique a su développer son image, basée sur une qualité exceptionnelle.
Tous les amateurs de rhums connaissent La Favorite. Son nom provient de l'époque de Napoléon, ce dernier saurait proclamé ""cette liqueur sera ma favorite"" en dégustant ce rhum des Antilles. Et on le comprend !",https://vandb.fr/la-favorite-reserve-du-chateau-2002-41-2-.html
"LA FAVORITE 2011 49,7%",AMBRÉ,RHUM - TRADITION FRANÇAISE,49.7,LA FAVORITE,MARTINIQUE,95.0,10,0,10,6,6,0,0,Ambré,"Boisé, vanillé, poivre, végétal","Fruits exotiques, épices, canne, fruits rouges",8,"Chaque nouveau millésime sortant des chais de La Favorite est un évènement pour tous les amateurs. Après un vieillissement de 8 ans en fûts de Cognac, ce rhum est embouteillé à la force du fût lui permettant de conserver l'ensemble des qualités organoleptiques. A la dégustation, on découvre des notes très épicées et boisées de fruits confits et mûrs comme le pruneaux. Le cognac apporte de la rondeur et de la gourmandise, mais aussi des notes tanniques. Un millésime superbe, extrêmement complexe à déguster en toute sagesse. Tous les amateurs de rhums connaissent La Favorite. Son nom provient de l'époque de Napoléon, ce dernier aurait proclamé ""cette liqueur sera ma favorite"" en dégustant ce rhum des Antilles. Et on le comprend !
Aujourd'hui, les rhums de la distillerie sont produits à partir de cannes à sucre provenant des 60 hectares qu'elle possède, mais aussi de petits producteurs aux alentours. L'énergie provient d'une machine à vapeur datant de 1900 qui assure ainsi le fonctionnement complet de l'ensemble de l'exploitation. Pour la fermentation, des levures de boulangeries sont utilisées. Elles confèrent les arômes si gourmands de la gamme La Favorite. Pour la distillation, deux colonnes créoles distillent les précieux rhums.
Cette cuvée particulière est le symbole de la rencontre entre la tradition ancestrale et le souhait de se démarquer des autres maisons martiniquaises. Après avoir suivi le processus traditionnel, les jus distillés ont rempli des fûts de chênes ayant précédemment contenu du Cognac. C'est ainsi que les arômes de pâtisserie, de crème, de prune et d'épices sont exacerbés.
Une expérience à vivre au moins une fois !",https://vandb.fr/la-favorite-2011-49-7-.html
