Nom,Type de whisky,Degré d'alcool,Brasserie,Pays,Prix,Epicé/Boisé,Tourbé/Fumé,Iodé,Fruité,Floral/Végétal,Malté,Organique,Vivacité,Pâtissier,Visuel,Odeur,Goût,Ancienneté,Description,Url
"PORT CHARLOTTE MRC:01 10 ANS 59,1%",SINGLE MALT,59.1,BRUICHLADDICH,ROYAUME-UNI,129.9,10,10,8,8,0,8,0,10,8,Ambre Rouge,"Tourbé, Fruits Noirs, Framboise, Cerise, Chaleureux, Fruité, Salin, Embrun Marin, Vanille, Toasté, Chocolat, Torréfié, Amande, Anis Étoilé, Fruits Rouges","Chaleureuse, Corsée, Gourmande, Marshmallow, Tourbée, Fumée, Tabac, Boisée, Sirop d'Érable, Oranges, Pèches Cuites, Saline, Fumée, Boisée, Framboise, Vanille, Caramel",10,"La distillerie Bruichladdich est à l'origine de trois séries d'embouteillages. La version ""Bruichladdich"", identique au nom de la distillerie, est la version non tourbée. Octomore, la version ""Super Heavily Peated"", provient de la distillerie avec des niveaux de tourbes dépassant les 100 ppm. Port Charlotte quant à elle est une version ""Heavily Peated"" entre 40 et 60 ppm. Un niveau de tourbe très élevé offrant à ce whisky ces saveurs fumées et ces arômes terreux très marqués.
Avce MRC, Port Charlotte lance sa gamme Cask Exploration, de quoi nous offrir une jolie gamme de whiskies aux maturations des plus innovantes.
Distillé à partir de 100% d'orge écossaise, cette référence a vieilli durant 9 ans en fûts de chênes américain de premier remplissage puis en fûts de second remplissage de vin rouge français. Ce whisky a ensuite été assemblé dans un dernier fût provenant des chais d'un prestigieux château de la rive gauche Bordelaise.
De quoi nous offrir un whisky extrêmement tourbé, à la complexité infinie et aux arômes fruités, empyreumatiques et gourmands ! Le must pour les amateurs de whiskies tourbés !",https://vandb.fr/port-charlotte-mrc-01-10-ans-59-1-.html
"PORT CHARLOTTE OLC:01 55,1%",SINGLE MALT,55.1,BRUICHLADDICH,ROYAUME-UNI,129.9,10,10,6,8,0,6,0,8,6,Orangé Foncé,"Tourbe, Algues, Fruits Noirs, Figues, Toffee, Pèche, Miel, Nougat, Orange Cuite, Vin cuits, Épices chaudes, Boisé, Torréfié, Chocolat","Huileux, Sec, Tourbe, Fruits Sucrés, Figue, Pèche, Nougat, Fruit A Coque, Tabac, Noisette, Terreuse, Fumée, Poivrée, Chocolat, Vanille, Saline",9,"La distillerie Bruichladdich est à l'origine de trois séries d'embouteillages. D'abord, en son nom propre Bruichladdich est la version non tourbée. Octomore est la version ""Super Heavily Peated"" provenant de la distillerie, avec des niveaux de tourbes dépassant les 100 ppm. Port Charlotte quand à elle est la version ""Heavily Peated"" entre 40 et 60 ppm. Un niveau de tourbe très élevé offrant cette fumée et ces arômes terreux très marqués.
Ce whisky est le deuxième à intégrer la gamme des Cask Exploration, une série de whiskies tourbés profitant de vieillissement dans de nouveaux fûts pour encore plus de saveurs !5 vieillissements se sont succédé. Après une distillation en 2010, d'orge écossaise cultivée en 2009, les jus ont été répartis dans des fûts de la manière suivante :
30% 1ST FILL AMERICAN WHISKEY CASKS
40% 2ND FILL AMERICAN WHISKEY CASKS
25% VIN DOUX NATUREL CASKS
5% 2ND FILL SYRAH CASKS
Après 8 ans de vieillissement ces jus ont été assemblés durant 18 mois dans plusieurs Hogsheads d'Oloroso spécialement sélectionnés par le directeur de la bodega espagnol Fernando de Castilla.
Un Whisky tourbé qui nous offre une complexité aromatique des plus rares, naviguant entre cette tourbe puissante et les influences des différents fûts.
Une nouvelle preuve de l'unicité et de l'innovation chère à Bruichladdich !",https://vandb.fr/port-charlotte-olc-01-55-1-.html
"OCTOMORE 10.1 59,8%",SINGLE MALT,59.8,BRUICHLADDICH,ROYAUME-UNI,176.0,6,10,4,6,0,6,4,4,8,Or pâle,"Vanille, caramel, fumée, pomme caramélisée, groseille, massepain","Doux, puissant, poivre, sucre d'orge, fumée, gomme, ananas, chêne toasté, iodé, caramel",5,"Distillerie emblématique d'Islay, Bruichladdich est à l'origine de trois embouteillages, tous iconiques, dans lesquels on retrouve la série des Octomore. Ces embouteillages rendent hommage à la petite ferme du même nom qui surplombe le village de Port Charlotte. Ils furent distillés pour la première fois en 2002 par Jim McEwan avec l'ambition de créer les whiskies les plus tourbés du monde.
10 éditions plus tard, Octomore est toujours considérée comme la gamme de whiskies à la concentration de phénols de tourbe la plus importante du monde : on parle de Single Malt ""Super-Heavily Peated"" !
En 2019, Octomore dévoila sa 10ème série, dont l'édition .1 représente le distillat dans son état le plus pur, uniquement vieilli en fûts de chênes américains ayant précédemment contenu du bourbon et du Tennessee whiskey. De quoi nous offrir un whisky à la tourbe explosive légèrement gourmande. Embouteillé brut de fût bien-sûr !
Et comme transparence rime avec Bruichladdich, on peut tout vous dire jusqu'à la provenance du grain d'orge : de variété Concerto, provenant uniquement de fermes écossaises, tourbé à hauteur de 107ppm (parties par million - échelle de mesure pour la tourbe - qui lorsque l'on dépasse 40 est considérée comme extrême), distillé lentement et vieilli durant 5 ans en fût de Jim Beam, Heaven Hill, Buffalo Trace et Jack Daniels.
Une bombe aromatique pour amateur de whiskies tourbés extrêmes !",https://vandb.fr/octomore-10-1-59-8-.html
"LAPHROAIG 30 ANS THE IAN HUNTER STORY - BOOK 2 46,70%",SINGLE MALT,46.7,LAPHROAIG,ECOSSE,950.0,4,6,0,10,0,0,0,6,6,Ambre soutenu,"Fruits secs, dattes, boîte à cigare, toffee, chocolat noir, réglisse.","Miel, pêche fumée, tabac, écorce d'orange, poivre, épices",30,"C'est 1815 que la famille Johnston installe la distillerie Laphroaig sur l'île d'Islay. Elle restera la propriété de la famille jusqu'à la Seconde Guerre Mondiale, jusqu'à un certain Ian Hunter.
Avec cette collection, la distillerie a souhaité rendre hommage au plus iconique des propriétaires de la distillerie. D'abord utilisé dans l'assemblage de blends, c'est ce dernier qui décida de rendre ces lettres de noblesses à la distillerie et de commercialiser les distillats en tant que Single Malt.
Entre 1908 et 1944, Ian Hunter décupla ses efforts pour faire de Laphroaig la distillerie iconique qu'elle est aujourd'hui, se basant sur un savoir-faire centenaire, et développant un style aromatique qui sera apprécié partout dans le monde. Aujourd'hui encore, son héritage se ressent dans le travail de la distillerie.
C'est en hommage à ce personnage iconique que 15 Single Malt rares vont être mis en vente. Après un premier chapitre vieilli en fût de bourbon durant 10 ans, ce nouveau chapitre est vieilli également durant 3 décennies en fûts de sherry Oloroso. Un pan de l'Histoire du whisky.",https://vandb.fr/laphroaig-30-ans-the-ian-hunter-story-book-2-46-70-.html
"GLENDRONACH 2009 SINGLE CASK N2091 61,9%",SINGLE MALT,61.9,GLENDRONACH,ECOSSE,112.5,8,0,0,6,0,2,0,2,10,Or Cuivré,"Orange, Gâteau aux Fruits Confits, Noisette, Raisin, Gingembre, Gâteaux Aux Amandes","Gâteaux Aux Fruits Confits, Raisin sec, Écorce d'Orange, Amandes, Pain d'Épices, Noix de Muscade, Rancio",10,"Nichée au cœur de la Vallée de Forgue, au milieu des collines de l'Est des Highlands, The Glendronach est l'une des distilleries les plus anciennes du pays. Dans ses whiskies, la distillerie offre le meilleur du style des Highland, avec un distillat au corps structuré, riche, parfaitement créé pour supporter de longue maturation. Depuis 1826, la distillerie n'utilise que des fûts de Pedro Ximénez et d'Oloroso des meilleurs bodegas d'Andalousie.
En 2009, la distillerie a rempli le fût n°2091, ayant précédemment contenu du Pedro Ximenez avec ce distillat puissant et très aromatique. 10 ans plus tard, on obtient alors un whisky d'exception, fruit d'une sélection minutieuse de la Master Blender Dr. Rachel Barriequi nous offre la richesse et la douceur du PX. Un whisky avec un degré alcoolique élevé pour conserver les arômes et non-coloré pour garder la couleur profonde naturelle de ce Single Cask.",https://vandb.fr/glendronach-2009-single-cask-n2091-61-9-.html
"ARDBEG 19 ANS 2020 46,2 %",SINGLE MALT,46.2,ARDBEG,ECOSSE,219.0,10,10,4,4,4,4,0,6,8,Ambré Clair,"Fruité, Ananas, Boisé, Chêne, Cuir, Pâtissier, Crème Aigre, Caramel, Réglisse","Fumé, Tourbé, Épicé, Chocolat Noir, Piment, Paprika, Menthe Poivre, Boisé Grillé",19,"Pour cette année 2020, Ardbeg revient avec le deuxième batch de son édition 19 ans Traigh Bhan. Après un batch n°1 centré sur le fût de chêne, cette seconde édition se part d'un double vieillissement fûts de chêne et fûts d'Oloroso.
Traigh Bhan rend hommage à une plage du même nom, et qui signifie ""Sables Chantants"". Cette plage est un lieu particulier, recouvert d'un sable blanc sifflant lorsque l'on foule ce sol. Les fonds marins sont eux-mêmes piégés par des rochers volcaniques tranchants. De quoi bien représenter ce whisky d'exception, digne représentant de la distillerie. Le distillat vieilli est d'une complexité unique, rencontre entre le ciselé de la tourbe, et la gourmandise de l'Oloroso.",https://vandb.fr/ardbeg-19-ans-2020-46-2-.html
"CHICHIBU 2012 BOURBON BARREL 62,4%",SINGLE MALT,62.4,CHICHIBU,JAPON,345.0,8,0,0,8,8,8,6,2,8,Doré Soutenu,"Fin, Malté, Végétal, Sauge, Verveine, Fruité, Poire, Citron, Ananas, Orange, Mandarine, Onctueux, Lactique, Coco, Médicinal, Réglisse, Boisé, Pin, Cèdre, Chocolat","Riche, Onctueuse, Fruits mûrs, Mirabelle, Poire, Banane, Maltée, Épices, Gingembre, Cannelle, Curry, Noix, Végétale, Chlorophylle, Oseille, Laurier, Praline, Moka, Caramel",8,"L'histoire de Chichibu est unique. Une première distillerie, Chichibu #1, fût fondée en 2008. 10 ans plus tard, une seconde distillerie, Chichibu #2 est fondée, afin d'accroitre la capacité de production. Cette seconde distillerie comprend deux wash stills de 10 000 litres et de spirits still de 6 500 litres. Une manière de développer le volumes de la distillerie japonaise la plus en vue du Japon.
En plus, elle est en route pour devenir la première distillerie à produire du whisky 100% japonais : orge et tourbe locale, chênes locaux, même les cuves de fermentation sont en chêne Mizunara. Ichiro Akuto est le maitre assembleur et garant de cette qualité qui ravit les amateurs.
Cet embouteillage est le fruit d'une distillation du 28 Décembre 2012, et représente l'essence même de Chichibu. La pureté de ce whisky est unique. L'objectif est de faire ressortir l'orge maltée, ainsi que le caractère médicinal, minéral et floral de Chichibu. Le fût de Bourbon y apporte la touche boisée, la rondeur, et les épices.
Un grand whisky de dégustation !",https://vandb.fr/chichibu-2012-bourbon-barrel-62-4-.html
"WOODFORD RESERVE MC CHOCOLATE MALTED RYE 45,2%",BOURBON,45.2,LABROT & GRAHAM,ETATS-UNIS,99.0,10,8,0,4,0,10,0,2,6,Acajou,"Empyreumatique, Cigare, Bois fin, Fumé, Chocolat Noir Croquant, Miel","Toffee, Torréfié, Caramel, Chocolat Noir, Vanille, Épices, Cigare, Malté",0,"L'histoire de Woodford Reserve est intimement liée à celle des États-Unis. La distillerie fût fondée en 1812 à Versailles, dans l'État du Kentucky, par le mythique Elijah Pepper. Suite à la prohibition qui débuta en 1920, la distillerie est contrainte de fermer ses portes comme beaucoup d'autres. 76 ans plus, Brown-Forman lance la construction d'une nouvelle distillerie sur le site originel de la distillerie, tout en se promettant de garder le même style et le procédé artisanal. Malgré sa petite taille, c'est l'une des distilleries les plus reconnues du pays.
A travers sa gamme Master of Ceremony, Woodford Reserve développe une série de bourbons aux styles innovants. Après le fûts de chêne américain et le fûts de Brandy, la distillerie nous livre une référence produite à base de seigle malté de type ""Chocolate"". De quoi apporter des arômes torréfies et très chocolatés. Une belle rencontre avec le caractère corsé des bourbons Woodford Reserve !",https://vandb.fr/woodford-reserve-mc-chocolate-malted-rye-45-2-.html
"COMPASS BOX NO NAME #2 48,9%",BLENDED MALT,48.9,MULTIPLES,ROYAUME-UNI,139.0,8,10,2,2,6,2,0,4,8,Ambré,"Tourbé, Fumé, Cendré, Beurre Salé, Toffee","Riche, Intense, Herbacé, Cire, Fine Tourbe, Épicé, Poivré, Tabac",0,"Depuis plusieurs années maintenant, Compass Box développe l'image des assemblages de Single Malt de manière magistrale. Il est vrai qu'un blended malt est l'assemblage de Single Malt : alors quand ceux-ci sont un Caol Ila vieilli en fût de sherry de second remplissage, un Talisker vieilli en fût chêne américain et un Clynelish, alors on sait que le résultat ne pourra qu'être exceptionnel ! Seulement, faut-il avoir le savoir-faire de John Glaser, Whisky Maker chez Compass Box.
Cette seconde version de No Name est plus fine que la première édition. Bien-sûr la tourbe est toujours bien présente, mais plus délicate. La touche cendrée et bacon fumé enrobé de fruits à coque du sherry de Caol Ila se marie à merveille avec l'iode et le feu de camps de Talisker. Clynelish apporte sa touche végétale et cireuse, comme un câlin au milieu de la tempête !
Un blended malt d'exception !",https://vandb.fr/compass-box-no-name-2-48-9-.html
CHICHIBU 2013 VIRGIN OAK,SINGLE MALT,48.9,CHICHIBU,JAPON,335.0,8,4,0,8,8,4,6,4,6,Topaze,"Vif, Gourmand, Vernis, Chêne Élégant, Fruits Exotiques, Mangue, Goyave, Girofle, Poivre Rose, Médicinal, Pâtisserie, Caramel au Beurre Salé","Racée, Fruitée, Orange, Pire, Pomme, Délicate, Florale, Médicinale, Violette, Lavande, Bruyère, Minérale, Gingembre, Cannelle, Cardamome, Gâteau Au Chocolat, Fruits Rouges, Balsamique, Pin, Noisette",7,"Chichibu est l'une des plus jeunes distilleries du Japon. Fondée en 2008, elle a su créer une véritable hype autour de ces références. Notamment grâce à la collection ""On the Way"", rassemblant des éditions limitées annuelles jusqu'au whisky de 10 ans de la distillerie.
La méthode de production est unique au Japon, grâce au formidable travail d'Ichiro Akuto. Chichibu est en route pour devenir le premier whisky 100% japonais, grâce à l'utilisation d'orge et de tourbe locale, de fût en chêne japonais... Même les cuves de fermentation sont en chêne Mizunara. Malgré son jeune âge la distillerie est un incontournable où chaque whisky est unique, d'une complexité inégalée.
Cette version de Chichibu est d'autant plus unique que c'est un embouteillage exclusif. Vieilli durant 7 ans en fûts de chênes américains neufs, il revêt ainsi des saveurs rappelant les American Whiskey, sans renier le caractère minéral et végétal de la distillerie. Une œuvre d'art haute en couleurs et en saveurs, comme son étiquette.
Avis aux amateurs et aux collectionneurs, cette bouteille est faite pour vous !",https://vandb.fr/chichibu-2013-virgin-oak.html
