Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
DOMAINE GUEISSARD BANDOL ROUGE 2017,ROUGE,BANDOL,14.5,DOMAINE GUEISSARD,FRANCE,19.2,6,2,10,10,Rouge pourpre profond,"Fruits rouges, Garrigues","Ample, Tanins fondus, Fruits rouges, Épices","Viande rouge, Gibier, Barbecue, Burger, Ribs",On peut résumer l'histoire du vignoble Gueissard par les deux mots persévérance et ambition. Un rêve fou devenu réalité pour ces deux jeunes vignerons qui n'ont pas d’aïeuls dans le monde du vin. Mais Pauline et Clément y ont cru ! Ils maîtrisent aujourd'hui le terroir de Bandol pour produire cette jolie cuvée rouge qui exalte la garrigue et les fruits rouges. Un vin puissant à marier avec des plats qui tiennent la route comme des gibiers ou des truffes.,https://vandb.fr/domaine-gueissard-bandol-rouge-2017.html
COCHON VOLANT CORBIÈRES ROUGE 2020,ROUGE,CORBIÈRES,14.0,DOMAINE LA TOUR PIGEONNIER,FRANCE,8.4,8,2,6,0,"Dense, reflets violets","Intense, fruits rouges, framboise, cerise, cassis","Soyeuse, croquante, méditerranéenne","Viande rouge, Charcuterie, Gibier, Barbecue","Cochon Volant, un nom qui peut vous étonner, mais qui est en réalité une référence aux sangliers des Corbières qui viennent dans les vignes se délecter des raisins bien mûrs.
Ce vin permet de découvrir et d'apprécier les vins jeunes. En effet ce dernier offre un équilibre hors paire grâce à sa puissance du fruit (cassis, framboise, cerise) qui contrebalance avec son coté charnu. C'est un vin croquant, généreux sublimé par de jolis tanins, idéal sur des viandes rouges, un rôti de porc aux pruneaux, de la charcuterie... N'hésitez pas à l'ouvrir 1 heure avant de la déguster pour profiter au mieux de son bouquet.",https://vandb.fr/cochon-volant-corbieres-rouge-2020.html
DOMAINE DE SURIANE CUVÉE 1884 BLANC 2020,BLANC,COTEAUX D'AIX EN PROVENCE,13.0,DOMAINE DE SURIANE,FRANCE,8.2,8,4,4,0,"Jaune doré, reflets argentés, limpide, brillant","Pêche, poivre confite, floral","Souple, rond, méditerranéenne","Poisson, Apéro, Salade de saison, Fromage de chèvre","1884, c'est l'année de naissance du domaine de Suriane, un vignoble à l'exposition idyllique qui se transmet de génération en génération. C'est Marie-Laure Merlin qui le dirige aujourd'hui et qui apporte sa touche féminine et moderne à l'exploitation. Elle signe la cuvée 1884, un blanc frais et dynamique qui casse les stéréotypes des vins blancs du sud réputés très riches.
Principalement issu du Vermentino, cépage flatteur et aromatique, il donne des vins blancs cristallins aux arômes de fleurs blanches et d'agrumes. On vous le conseille sur un fromage de chèvre à l'huile d'olive de Provence, bien sûr.",https://vandb.fr/domaine-de-suriane-cuvee-1884-blanc-2020.html
ÉCHAPPÉE GOURMANDE ZINFANDEL ROUGE 2019,ROUGE,LANGUEDOC,14.5,L'ARJOLLE,FRANCE,14.5,8,6,8,8,"Rouge sombre, reflets violacés","Fruits mures, épicé","Fraîche, massif, ronde","Plats épicés, Viande rouge, Desserts chocolatés","C'est en 1974, que les deux frères Louis Marie et Prosper Teisserenc fondent le vignoble de l'Arjolle. Toujours présents au domaine aux côtés de leurs enfants, ils veillent au respect des valeurs qu'ils ont instaurées dès le premier jour : des vins de plaisir et de qualité.
Echappez vous grâce à ce vin produit en monocépage américain en terre française. Cépage roi en Californie, il est ici produit et vinifié dans le Languedoc. On constate sur ce vin rouge une longue finale épicée dûe à une extraction maîtrisée. Un vin d'une belle matière avec un élevage parfaitement réussi lui permettent de passer des jours heureux loin de la lumière et de la chaleur.
Il vous régalera autour d'un bon dîner avec vos amis ou votre famille.",https://vandb.fr/echappee-gourmande-zinfandel-rouge-2019.html
PLAN DE LUCIE PIC SAINT LOUP LANGUEDOC ROUGE 2019,ROUGE,PIC SAINT LOUP,14.0,LE CELLIER DU PIC,FRANCE,10.4,8,2,6,0,"Robe rouge grenat, reflets violines","Épices, Fruits noirs","Suave, Gourmande, Généreuse","Plats épicés, Viande rouge, Viande blanche, Ribs","Toute jeune AOC, c'est en 2017 que le Pic Saint Loup est devenu une appellation à part entière. Une victoire pour ce beau vignoble au climat plus frais et plus pluvieux que dans le reste du Languedoc. En été, les écarts de températures importants entre le jour et la nuit favorise la concentration des arômes et préservent l'acidité du vin. Une reconnaissance bien méritée de la part de l'INAO (Institut national de l'origine et de la qualité).
La cuvée Plan de Lucie est un vin rond et expressif, sur les épices et les fruits noirs, disponible uniquement dans les magasins V and B.",https://vandb.fr/plan-de-lucie-pic-saint-loup-languedoc-rouge-2019.html
DOMAINE DE LA MARINIÈRE LA PEAU DE L'OURS ROUGE 2019,ROUGE,CHINON,12.0,DOMAINE DE LA MARINIÈRE,FRANCE,8.95,10,6,4,0,"Rouge rubis, reflets violets","Panier de fruits frais, épices,","Gouleyant, facile, léger","Charcuterie, Apéro, Barbecue","Un Chinon comme celui là, ça fait longtemps qu'on en cherchait un ! Il est bio, il est moderne, pas de tanins et que du fruits... on l'a dans la peau dès la première gorgée. Issu du domaine de la marinière qui possède 13,5 hectares de Cabernet Franc à Cravant-les-Coteaux, un des plus beau terroirs de Chinon. Cette cuvée aurait du voir le jour en 2016 et être vendue sur le marché canadien, mais la parcelle ayant gelé, le vin n'a pu voir le jour qu'en 2017. Et oui... il ne faut pas vendre la peau de l'ours avant d'avoir vendangé.
Boris Desbourdes a repris le vignoble il y a peu de temps et fait parti de la jeune générations des vignerons chinonais qui donne un coup de neuf a l'appellation. Ultra-connecté, Boris est aussi connu pour sa moustache et sa marinière que pour sa passion pour les chaussettes qu'il partage sur les réseaux sociaux.
Un vin rouge au packaging transparent, fun, moderne et facile à boire. Idéal pour ceux qui souhaitent un vin décalé mais pas déconnant.",https://vandb.fr/domaine-de-la-mariniere-la-peau-de-l-ours-rouge-2019.html
UBY COLOMBARD UGNI BLANC N°3 2020,BLANC,SANS IG,11.0,DOMAINE D'UBY,FRANCE,6.2,8,6,6,0,Robe jaune aux reflets verts,"Vif, Agrumes, Fruits à noyaux","Fruits mûrs, Ronde, Fraîche","Fruits de mer, Fromage doux, Poisson, Apéro, Tapas","Fameux vignoble des Côtes de Gascogne, le domaine Uby cultive la vigne depuis plus d'un siècle. La tortue cistude, espèce en voie de disparition a choisi l'étang d'Uby pour se reproduire. Le vigneron s'est ainsi engagé à préserver ce lieu, et la tortue s'est de suite imposée comme l'emblème du domaine.
Le vin blanc n°3, plus sec que le n°4 est tout aussi ample et intense. Véritable vin de plaisir et de partage, il fera le bonheur des apéritifs entre amis.
Un vin blanc idéal à l'apéritif ou avec des fruits de mer, des poissons et des fromages à pâte crémeuse.",https://vandb.fr/uby-colombard-ugni-blanc-n-3-2020.html
HAUT CLAVERIE SAUTERNES 2015,BLANC MOELLEUX,SAUTERNES,13.5,CHATEAU HAUT CLAVERIE,FRANCE,19.9,8,6,8,2,"Jaune doré, reflets dorés, limpide","Fruits exotiques, cire d'abeille, épices douces","Moelleux, complexe, équilibré",,"Propriétaire du vignoble depuis des générations, la famille Claverie donne tout son amour à ses vins. Mais c'est réellement en 1930 que le vignoble prend un virage sous la houlette de l'héritière légitime de la dynastie. Entre renouvellement, augmentation de la superficie et viticulture raisonnée le vignoble n'a cessé de voir grand. Évidemment, la gente féminine des différentes générations a largement épaulé les hommes pour donner à ce vignoble ses notes de noblesse.
Aujourd'hui, les vins portent aussi bien l'histoire que le caractère et la tradition. Fraîcheur, fruit et douceur sont les maîtres mots des cuvées de Haut Claverie. Les amateurs de bons vins comme les novices avides d'expériences seront surpris par une dégustation chaleureuse, en toute simplicité à la propriété !",https://vandb.fr/haut-claverie-sauternes-2015.html
CAVE DU ROI DAGOBERT SYLVANER TRADITION BLANC 2018,BLANC,ALSACE,12.5,CAVE DU ROI DAGOBERT,FRANCE,6.8,6,8,4,0,"Jaune vert pâle, reflets verts","Citron frais, acacia, agrumes","Fraîche, croquante, facile","Viande blanche, Coquillages et crustacés, Apéro, Salade de saison, Poisson","À travers sa gamme de vin, la coopérative alsacienne La Cave du Roi Dagobert vous fait découvrir les cépages traditionnels de la région. Fondée en 1952 à Traenheim, c'est aujourd'hui l'un des acteurs majeurs de la viticulture alsacienne.
D'origine autrichienne, le Sylvaner est un cépage légèrement acidulé qui donne des vins frais, délicats et fluides. Avec ses arômes de fleurs blanches, d'agrumes et d'herbe coupée, c'est un véritable vin de printemps qui nous transporte au grand air de la campagne. Vous préférez le bord de mer ? Ça tombe bien, le Sylvaner est idéal en accompagnement de mets iodés tels qu'un poisson, des huîtres ou une choucroute de la mer.",https://vandb.fr/cave-du-roi-dagobert-sylvaner-tradition-blanc-2018.html
DOMAINE DE L'ANCIENNE CURE JOUR DE FRUIT BERGERAC ROUGE 2019,ROUGE,BERGERAC,13.5,DOMAINE ANCIENNE CURE,FRANCE,9.9,8,6,4,0,"Rubis foncé, reflets rosés","Cerise noir,","Tanins fondus, friand,","Viande rouge, Charcuterie, Barbecue","L'appellation Bergerac est situé dans le sud-ouest, très proche de sa voisine Bordelaise. On y trouve des vins inspirés de la tradition de Bordeaux et des vins de plaisir, cette région a puisé le meilleur de ses voisins.
Le domaine de l'Ancienne Cure est l'une des belle maison de cette appellation. Christian Roche, le vigneron, est une référence de la région du Sud-Ouest et a été élu vigneron de l'année du Guide Hachette 2018 !
Ce Jour de Fruit est issu de l'agriculture biologique, appliqué sur les 50 Ha du domaine. On y retrouve un vin qui se laissera apprivoiser avec facilité, grâce à un fruité charmeur. En bref, un vin gourmand et intense, un véritable plaisir !",https://vandb.fr/domaine-de-l-ancienne-cure-jour-de-fruit-bergerac-rouge-2019.html
